PRODUCT_NAME,URL,OBJECT
TV,https://m.media-amazon.com/images/I/71EcYIKenVL._SX450_.jpg,[['Television']]
Table-fan,https://m.media-amazon.com/images/I/41Kip-FEYqL._SX300_SY300_QL70_FMwebp_.jpg,[['Mechanical fan']]
Table-fan,https://m.media-amazon.com/images/I/41KTAWkVw0L._SX300_SY300_QL70_FMwebp_.jpg,[['Mechanical fan']]
Table-fan,https://m.media-amazon.com/images/I/51OX1XmYqkL._SX300_SY300_QL70_FMwebp_.jpg,[['Mechanical fan']]
Table-fan,https://m.media-amazon.com/images/I/51J+evZr9BL._SY300_SX300_.jpg,[['Mechanical fan']]
Table-fan,https://m.media-amazon.com/images/I/514iOf-KsjL._SX300_SY300_QL70_FMwebp_.jpg,[['Mechanical fan']]
Table-fan,https://m.media-amazon.com/images/I/31xtOXdSfDL._SX300_SY300_QL70_FMwebp_.jpg,[['Mechanical fan']]
Headset,https://m.media-amazon.com/images/I/21Vf6jjGhzL._SY300_SX300_QL70_FMwebp_.jpg,[['Headphones']]
Headset sony,https://m.media-amazon.com/images/I/31JulV2yBjL._SX300_SY300_QL70_FMwebp_.jpg,[['Headphones']]
Headset,https://m.media-amazon.com/images/I/31Vu9iEHP0L._SX300_SY300_QL70_FMwebp_.jpg,[['Headphones']]
Headset,https://m.media-amazon.com/images/I/41tQv0l93fL._SX300_SY300_QL70_FMwebp_.jpg,[['Headphones']]
Headset,https://m.media-amazon.com/images/I/31Cdv0HYmhL._SX300_SY300_QL70_FMwebp_.jpg,[['Headphones']]
bag,https://m.media-amazon.com/images/I/81sqK9prgxL._SX679_.jpg,[['Backpack']]
bag,https://m.media-amazon.com/images/I/81rDE6gGxnL._SX679_.jpg,[['Backpack']]
bag,https://m.media-amazon.com/images/I/41n6ogMtiJL._SY300_SX300_.jpg,[['Backpack']]
bag,https://m.media-amazon.com/images/I/71mPcZGHf0L._SX679_.jpg,[['Backpack']]
bag,https://m.media-amazon.com/images/I/71XqKCamGaL._SX679_.jpg,[['Backpack']]
bag,https://m.media-amazon.com/images/I/41C1yDe7HBL._SY300_SX300_.jpg,[['Backpack']]
sunglasses,https://m.media-amazon.com/images/I/41Dr9I4x1EL._SX679_.jpg,[['Sunglasses']]
sunglasses,https://m.media-amazon.com/images/I/41KML+1HubL._SX679_.jpg,[['Sunglasses']]
sunglasses,https://m.media-amazon.com/images/I/61KJOOWurYL._SX679_.jpg,[['Sunglasses']]
sunglasses,https://m.media-amazon.com/images/I/41n2H-mOJ+L._SX679_.jpg,[['Sunglasses']]
sunglasses,https://m.media-amazon.com/images/I/61W2YfMxdpL._SX679_.jpg,[['Sunglasses']]
sunglasses,https://m.media-amazon.com/images/I/61AQ3g2wc6L._SX679_.jpg,[['Sunglasses']]
sunglasses,https://m.media-amazon.com/images/I/51fNP30HB0L._SX679_.jpg,[['Sunglasses']]
tshirt,https://m.media-amazon.com/images/I/71SAYrGnadL._SY741_.jpg,"[['Top', 'Watch']]"
tshirt,https://th.bing.com/th/id/OIP.YNlEKwqonnUnW-yKqgYDFAHaJC?rs=1&pid=ImgDetMain,[['Top']]
tshirt,https://th.bing.com/th/id/OIP.5su7XRkoZt9RFBXihQUAqgAAAA?rs=1&pid=ImgDetMain,[['Top']]
tshirt,https://99designs-blog.imgix.net/blog/wp-content/uploads/2016/12/attachment_89561603-e1513587105243.jpg?auto=format&q=60&fit=max&w=930,[['Top']]
tshirt,https://i5.walmartimages.com/asr/983733a4-f6d1-4874-9706-e41f7d44b57c.b69e437c9e9acd825c58294fa325bf30.jpeg,[['Top']]
tshirt,https://d1csarkz8obe9u.cloudfront.net/posterpreviews/black-shirt-design-template-9711886ffaea1bd17443ac887fe511ee_screen.jpg?ts=1695810688,[['Top']]
tshirt,https://th.bing.com/th/id/OIP.6BvcPmzaO-mVgosyoAZgPAHaHa?w=1562&h=1562&rs=1&pid=ImgDetMain,[['Top']]
umbrella,https://m.media-amazon.com/images/I/61AFLXzsCyL._SX679_.jpg,[['Umbrella']]
tiger,https://wordzz.com/wp-content/uploads/2023/04/Bengal-Tiger-Indias-National-Animal.jpeg,"[['Animal', 'Tiger']]"
tiger,https://th.bing.com/th?id=OIF.%2bBtEm4WU4DjZ0QlnI0XJSw&rs=1&pid=ImgDetMain,"[['Animal', 'Tiger']]"
tiger,https://th.bing.com/th/id/OIP.4i1rb3l8HzTdg3MPrki5tgAAAA?rs=1&pid=ImgDetMain,[['Tiger']]
tiger,https://images5.alphacoders.com/111/thumb-1920-1111043.jpg,[['Tiger']]
tiger,https://live.staticflickr.com/3735/10081580705_8949d567c6_b.jpg,[['Tiger']]
SHIRT-NEW,https://m.media-amazon.com/images/I/61IVdf3hBZL._SY741_.jpg,"[['Top', 'Shirt', 'Person']]"
Plane-Shirt,https://m.media-amazon.com/images/I/91NSwVYF7qL._SX569_.jpg,"[['Jeans', 'Person', 'Shirt', 'Top']]"
Car-toy,https://m.media-amazon.com/images/I/41lWArWABUL._SX300_SY300_QL70_FMwebp_.jpg,[['toy']]
